"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Antibiotic kills the bacteria(Yes)"," Amoxicillin is an antibiotic (Yes)"," Azithromycin is an antibiotic(Yes)"," Paracetamol is an antibiotic(No)"," Antibiotic kills the virus(No)"," Antibiotics used to treat diarrhoea(Yes)"," Antibiotics are useful for flu and cough(No)"," Antibiotic resistant bacteria are difficult to treat(Yes)"," Misuse of antibiotics can lead to antibiotic resistant bacteria(Yes)"," Antibiotics can cause allergic reactions(Yes)"," Antibiotics can kill normal flora(Yes)"," Infectious disease are becoming difficult to treat with antibiotics(Yes)"," I will see another doctor if the first one has not been prescribed antibiotics(Disagree)"," I am not satisfied if the doctor does not prescribe an antibiotic to me(Disagree)"," Antibiotics are safe and hence can be used commonly(Disagree)"," Sick child is given antibiotics, even there is no indication(Disagree)"," Antibiotics can improve fever in children(Disagree)","A child with cold is given antibiotics(Disagree)","I stop antibiotics when my child condition improves(Disagree)","I reusing the same antibiotics for similar symptoms(Disagree)","Leftover antibiotics are good to keep at home in case I might need them for my child later on(Disagree)","Doctors often take time to inform parents how antibiotics should be used for their children(Disagree)"," I give my children antibiotics(No)"," I check expiring date of antibiotic before giving to children(Yes)"," I seek medical advice before giving antibiotic to my children(Yes)"," I give my children antibiotics when they get cough(No)"," I like to take antibiotic from pharmacy instead of taking from doctor(No)"," My child should complete a given dose, even he improve after 2 dose(Yes)","Source(s) of information about antibiotics","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49","Why would you give your child antibiotics without a physician's advice? (You can choose more than one)","I thought that my child's condition was not severe enough","I didn't have enough time to visit a doctor","I didn't have enough money to pay for the hospital visit","Lack of hospitals in the nearest place","It is convenient to purchase antibiotics from retail pharmacies","Lack of trust in medical service","No confidence with doctor's medication","Easier to apply previous prescription","Suggestions from others","Knowledge of antibiotics","I don't give antibiotics without doctor's consultation","Others...62"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes","Don't Know","No","Yes","Yes","No","No","No","Don't Know","Yes","No","Don't Know","Don't Know","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","Yes","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"Others",0,0,0,0,0,0,0,0,0,0,0,1
"25–35","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","No","Don't Know","Yes","Don't Know","Yes","Don't Know","Yes","No","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","Yes","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes","Yes","Don't Know","Don't Know","No","Yes","No","Yes","Yes","Don't Know","Don't Know","Yes","Yes","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Yes","Yes","Yes","Yes","No","No","Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Primary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Others","Never","Don't Know","Don't Know","Yes","No","Don't Know","No","No","Don't Know","Yes","Yes","Yes","No","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Yes","Yes","Yes","Yes","Yes","No","Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"Knowledge of antibiotics Easier to apply previous prescription",0,0,0,0,0,0,0,1,0,1,0,0
"25–35","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","No","Yes","Don't Know","Yes","Don't Know","Yes","No","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Yes","Yes","Yes","Yes","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Don't Know","Yes","Don't Know","Yes","No","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Yes","Yes","Yes","Yes","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"Suggestions from others I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,1,0,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never","Yes","Don't Know","Don't Know","No","Yes","No","No","Don't Know","Yes","Don't Know","Yes","Don't Know","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Yes","Yes","Yes","Yes","No","No","Information given by a colleague  Information from dispensers  Information from prescribers",0,1,1,0,1,0,0,0,0,"Suggestions from others",0,0,0,0,0,0,0,0,1,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Yes","Yes","No","Don't Know","Yes","No","Yes","No","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","Yes","No","No","Information from prescribers  Information from dispensers  Others",0,1,1,0,0,0,0,0,1,"Suggestions from others",0,0,0,0,0,0,0,0,1,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","1","Father","Sometimes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Yes","No","Yes","No","No","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Often","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Yes","No","Yes","No","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Sometimes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Yes","No","Yes","No","No","Yes","Information from prescribers  Internet",0,1,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","2","Father","Sometimes","Yes","No","Don't Know","No","Yes","No","No","Don't Know","Don't Know","No","No","Yes","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","No","Yes","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Don't Know","Yes","No","Don't Know","Don't Know","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","No","Yes","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Yes","No","Yes","Yes","Yes","Don't Know","Yes","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Yes","Yes","Yes","No","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"Others",0,0,0,0,0,0,0,0,0,0,0,1
"36–45","Female","Primary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","No","No","No","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I thought that my child's condition was not severe enough I don't give antibiotics without doctor's consultation",1,0,0,0,0,0,0,0,0,0,1,0
"36–45","Female","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","2","Grandmother","Often","No","Yes","Yes","No","No","No","No","Don't Know","Yes","Yes","Don't Know","Yes","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Yes","Yes","Yes","No","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I thought that my child's condition was not severe enough I don't give antibiotics without doctor's consultation Knowledge of antibiotics",1,0,0,0,0,0,0,0,0,1,1,0
"> 45","Male","Undergraduate","Employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes","Yes","Don't Know","Don't Know","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes","Yes","Yes","Yes","Yes","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9",">= 3","Grandmother","Often","Yes","Don't Know","Don't Know","No","Yes","No","No","No","Yes","Yes","Don't Know","Don't Know","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Yes","Yes","Yes","No","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Primary","Employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes","Yes","Don't Know","Don't Know","Yes","Yes","No","Yes","Don't Know","Don't Know","No","No","No","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Yes","Yes","Yes","Yes","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I thought that my child's condition was not severe enough I didn't have enough time to visit a doctor I don't give antibiotics without doctor's consultation",1,1,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Don't Know","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","No","Yes","Yes","No","No","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Knowledge of antibiotics I don't give antibiotics without doctor's consultation",1,0,0,0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never","Don't Know","Yes","Don't Know","Don't Know","Don't Know","Don't Know","No","Don't Know","Yes","No","Yes","Yes","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Neutral","No","Yes","Yes","No","No","Yes","Information from prescribers  Information from dispensers  Internet  Social media  Others",0,1,1,0,0,0,1,1,1,"I thought that my child's condition was not severe enough Suggestions from others I don't give antibiotics without doctor's consultation Easier to apply previous prescription",1,0,0,0,0,0,0,1,1,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes","Don't Know","Don't Know","Don't Know","No","Don't Know","No","Yes","Don't Know","Don't Know","Yes","Don't Know","Don't Know","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough I didn't have enough money to pay for the hospital visit",1,0,1,0,0,0,0,0,0,0,0,0
"> 45","Male","Postgraduate","Employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Yes","Yes","No","Yes","Yes","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","No","Yes","Yes","No","Yes","Yes","Information from prescribers  Information from dispensers  Internet  Others",0,1,1,0,0,0,1,0,1,"I thought that my child's condition was not severe enough I didn't have enough time to visit a doctor I didn't have enough money to pay for the hospital visit I don't give antibiotics without doctor's consultation Suggestions from others",1,1,1,0,0,0,0,0,1,0,1,0
"25–35","Female","Primary","Employed","Extended family","Low (less than 30000 BDT)","Male","> 10",">= 3","Others","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Don't Know","Don't Know","No","Don't Know","Don't Know","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","No","No","Yes","No","Yes","No","Information from prescribers  Information from dispensers  Information from nurses  Others",0,1,1,1,0,0,0,0,1,"I thought that my child's condition was not severe enough I didn't have enough time to visit a doctor I didn't have enough money to pay for the hospital visit Suggestions from others Knowledge of antibiotics",1,1,1,0,0,0,0,0,1,1,0,0
"25–35","Female","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Grandmother","Sometimes","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Don't Know","Yes","No","Don't Know","Don't Know","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","No","Yes","Yes","No","Yes","No","Information from prescribers  Information from dispensers  Information given by a colleague",0,1,1,0,1,0,0,0,0,"I thought that my child's condition was not severe enough I didn't have enough money to pay for the hospital visit Suggestions from others",1,0,1,0,0,0,0,0,1,0,0,0
"25–35","Male","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Sometimes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","No","No","Yes","No","No","No","Social media  Internet  Information from prescribers",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","< 5","1","Mother","Always","Yes","No","Yes","No","Yes","Yes","No","Don't Know","Don't Know","Yes","Don't Know","Yes","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Social media  Internet",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never","Yes","Don't Know","Don't Know","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","No","No","Yes","No","Yes","Yes","Social media  Internet  Information from prescribers",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Primary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Always","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","No","No","No","Don't Know","Don't Know","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Yes","No","Yes","No","Yes","Yes","Social media  Internet  Information from prescribers  Information from dispensers",0,1,1,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Sometimes","Don't Know","Don't Know","Don't Know","No","Don't Know","No","No","Yes","Yes","Yes","Yes","No","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","No","No","Yes","No","No","Yes","Social media  Internet",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","Yes","No","Yes","Yes","Yes","Don't Know","Don't Know","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Yes","No","Yes","No","Yes","No","Social media  Internet",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Always","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Don't Know","Don't Know","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","No","No","Yes","No","No","No","Internet  Social media",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Male","Postgraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Always","Don't Know","Yes","Yes","No","Don't Know","No","No","No","No","Yes","Don't Know","No","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","No","Social media  Internet",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Sometimes","Yes","Yes","Yes","Yes","Don't Know","Yes","Yes","Don't Know","Yes","No","Yes","Yes","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Yes","Yes","No","Yes","Yes","No","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"Others Easier to apply previous prescription",0,0,0,0,0,0,0,1,0,0,0,1
"36–45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Often","Don't Know","No","No","Yes","Don't Know","Yes","Yes","Don't Know","Don't Know","No","Don't Know","Don't Know","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Yes","Yes","No","Yes","No","No","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes","Yes","Yes","Yes","No","Don't Know","Yes","Yes","Don't Know","Yes","No","Don't Know","Yes","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Yes","No","No","Yes","Yes","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes","Don't Know","No","No","Yes","Don't Know","No","Yes","Don't Know","Yes","No","Don't Know","Yes","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Yes","No","No","Yes","Yes","Yes","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes","Yes","Yes","Yes","No","Yes","No","Yes","Don't Know","Yes","No","Yes","Yes","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Yes","Yes","Yes","Yes","Yes","No","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes","Yes","Yes","Yes","No","Don't Know","No","Yes","Yes","Yes","No","Yes","Yes","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Yes","Yes","Yes","Yes","Yes","No","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0
"36–45","Male","Undergraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Sometimes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Yes","Yes","Yes","Yes","Yes","No","Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never","Yes","No","Don't Know","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"> 45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never","Don't Know","Don't Know","Don't Know","No","Yes","No","Yes","No","Yes","No","Yes","Don't Know","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","No","Yes","Yes","Yes","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never","Yes","Don't Know","Don't Know","No","Don't Know","No","No","Yes","Yes","No","Don't Know","Yes","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never","Yes","Don't Know","Don't Know","Yes","Yes","No","No","No","Yes","Yes","No","No","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","Yes","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Never","Don't Know","No","No","Don't Know","Don't Know","No","Yes","Yes","No","Yes","Yes","Yes","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Yes","Yes","Yes","Yes","No","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"> 45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Internet  Information from prescribers",0,1,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Information from prescribers  Internet  Social media",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation Knowledge of antibiotics Suggestions from others",0,0,0,0,0,0,0,0,1,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","Don't Know","No","Don't Know","Yes","Don't Know","Yes","Yes","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Yes","Yes","Yes","Yes","Yes","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","No","Yes","Social media  Internet  Information from prescribers",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation Knowledge of antibiotics",0,0,0,0,0,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Don't Know","Don't Know","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","No","Yes","Yes","No","Yes","Yes","Information provided by pharmaceutical companies leaflet  Information from prescribers",1,1,0,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Lack of hospitals in the nearest place",1,0,0,1,0,0,0,0,0,0,0,0
